C,Mn,Si,Cr,Ni,Mo,AustenitizeTemp,AustenitizeTime,QuenchMedium,TemperingTemp,TemperingTime,Hardness
0.463,0.55,0.292,0.568,0.123,0.337,898,56,Water,554,48,100.6
0.279,0.832,0.453,0.832,0.743,0.304,918,45,Water,229,98,85.6
0.252,1.159,0.866,0.632,0.433,0.137,793,95,Water,446,109,73.4
0.398,0.793,0.215,1.35,0.96,0.125,932,59,Water,644,146,92.4
0.474,0.529,0.904,0.716,0.75,0.139,897,32,Water,325,117,103.2
0.34,1.461,0.547,1.533,0.054,0.477,783,103,Oil,340,124,86.6
0.591,1.081,0.483,0.316,0.478,0.1,816,66,Water,532,197,118.0
0.458,1.339,0.375,1.573,0.734,0.191,821,60,Polymer,482,82,98.3
0.366,0.33,0.925,1.213,0.858,0.757,901,113,Oil,343,52,96.0
0.326,0.62,0.566,1.687,0.157,0.176,797,68,Oil,244,32,86.3
0.304,0.902,0.824,0.919,0.975,0.611,790,48,Polymer,450,120,84.6
0.478,0.381,0.872,1.287,0.516,0.478,939,82,Polymer,497,122,94.7
0.347,1.492,0.93,1.153,0.274,0.331,834,51,Polymer,468,122,77.8
0.177,0.584,0.373,1.954,1.208,0.476,924,52,Water,498,101,66.4
0.329,0.749,0.406,1.535,0.103,0.107,793,25,Polymer,532,167,76.1
0.482,0.557,0.636,1.135,1.395,0.387,849,98,Water,643,178,102.9
0.232,0.427,0.497,0.431,1.059,0.778,903,23,Oil,210,107,76.5
0.229,0.579,0.94,1.818,0.713,0.342,834,114,Water,478,182,74.1
0.389,0.661,0.458,0.491,0.017,0.194,891,70,Oil,579,155,95.5
0.389,1.061,0.53,1.335,0.585,0.742,844,34,Oil,185,99,88.1
0.435,0.637,0.655,1.879,0.969,0.489,808,116,Polymer,520,36,92.8
0.532,0.735,0.464,0.525,1.288,0.582,880,66,Water,376,109,115.2
0.476,0.307,0.993,0.529,0.927,0.435,823,103,Oil,241,79,102.3
0.425,0.739,0.189,1.718,0.597,0.009,788,116,Oil,350,194,90.1
0.475,0.941,0.299,1.673,0.671,0.605,949,37,Water,290,67,110.5
0.295,0.494,0.39,0.768,1.31,0.783,933,58,Oil,571,143,81.2
0.313,1.017,0.233,0.604,0.527,0.573,883,93,Water,568,86,84.9
0.253,0.652,0.356,0.342,0.098,0.647,938,22,Water,329,179,80.4
0.282,1.058,0.801,1.977,0.664,0.681,870,117,Oil,207,165,78.7
0.434,0.331,0.571,1.687,1.498,0.799,907,44,Water,336,69,96.4
0.191,1.365,0.131,1.809,0.57,0.231,832,111,Polymer,396,123,65.1
0.345,0.319,0.984,1.076,0.29,0.36,832,72,Polymer,482,57,77.1
0.344,0.452,0.654,0.317,0.068,0.434,929,67,Water,254,43,88.0
0.372,1.233,0.153,0.2,0.256,0.122,842,104,Oil,351,78,94.6
0.342,0.355,0.695,0.728,0.486,0.385,853,34,Oil,378,93,85.4
0.291,1.153,0.441,1.849,0.861,0.222,828,23,Polymer,470,52,76.7
0.342,1.465,0.222,1.9,0.998,0.67,880,46,Water,304,99,90.5
0.552,1.346,0.607,1.698,0.064,0.278,917,119,Polymer,366,174,111.1
0.575,1.152,0.754,0.401,1.404,0.065,876,113,Polymer,201,75,116.4
